0.01 25.60 0.40 0.04 9.63 -2.93 2.05 0.05
0.04 25.50 0.38 0.05 9.65 -2.74 1.93 -0.05
0.06 25.79 0.39 0.05 9.56 -2.97 2.20 -0.16
0.08 25.41 0.38 0.02 9.62 -2.98 2.16 0.04
0.11 25.50 0.37 0.04 9.64 -2.87 2.10 0.07
0.13 25.46 0.38 0.08 9.63 -3.08 2.16 0.22
0.15 25.12 0.36 0.05 9.61 -2.92 2.19 -0.15
0.17 25.74 0.36 0.06 9.55 -3.08 2.08 -0.14
0.20 25.50 0.37 0.03 9.60 -3.05 2.07 -0.09
0.22 25.60 0.38 0.04 9.57 -2.70 2.25 -0.16
0.24 25.74 0.38 0.07 9.57 -3.21 2.25 -0.32
0.26 25.65 0.40 0.01 9.64 -2.98 2.15 -0.06
0.29 25.65 0.42 0.06 9.62 -3.16 2.19 -0.05
0.31 25.79 0.41 0.03 9.61 -2.92 1.92 -0.04
0.33 25.31 0.40 0.04 9.61 -3.02 2.02 0.27
0.36 25.79 0.40 0.05 9.60 -3.08 2.23 -0.07
0.38 25.50 0.40 0.02 9.59 -3.07 2.08 -0.08
0.40 25.46 0.42 0.02 9.59 -2.88 1.90 -0.06
0.42 25.65 0.40 0.05 9.61 -3.14 2.18 -0.18
0.45 25.65 0.35 0.04 9.67 -3.16 2.05 -0.12
0.47 25.50 0.41 0.03 9.62 -3.15 1.96 -0.15
0.49 25.46 0.38 0.04 9.64 -2.77 2.12 -0.07
0.52 25.50 0.37 0.05 9.63 -3.02 1.75 -0.13
0.54 25.46 0.39 0.08 9.57 -3.08 2.05 0.03
0.56 25.50 0.38 0.05 9.68 -2.85 2.21 -0.22
0.58 25.65 0.37 0.05 9.58 -3.07 2.14 -0.11
0.61 25.50 0.37 0.06 9.57 -2.95 2.19 0.03
0.63 25.41 0.38 0.05 9.60 -3.08 2.08 -0.10
0.65 25.74 0.38 0.02 9.62 -2.78 2.05 -0.16
