0.00 25.94 0.39 0.04 9.56 -5.40 1.65 0.36
0.01 25.94 0.35 0.05 9.62 -2.90 2.05 -0.11
0.01 25.98 0.40 -0.01 9.58 -3.15 2.17 -0.29
0.04 26.03 0.40 0.06 9.60 -3.07 2.29 -0.02
0.06 25.98 0.37 0.07 9.66 -2.82 2.06 -0.07
0.08 25.84 0.42 0.06 9.55 -2.87 2.15 -0.07
0.11 26.27 0.38 0.02 9.62 -3.17 2.24 -0.08
0.13 25.79 0.45 0.06 9.62 -2.92 2.29 0.05
0.15 26.03 0.40 0.06 9.64 -2.75 2.10 0.26
0.17 25.84 0.41 0.02 9.60 -2.81 2.07 0.15
0.20 25.94 0.43 0.03 9.60 -2.90 2.16 -0.06
0.22 25.94 0.38 0.05 9.59 -2.69 2.35 -0.16
0.24 26.03 0.40 0.02 9.65 -3.11 2.18 -0.02
0.27 26.13 0.39 0.07 9.56 -2.69 2.11 -0.17
0.29 26.18 0.41 0.02 9.54 -3.10 2.18 -0.03
0.31 25.84 0.41 0.05 9.63 -3.15 1.98 0.24
0.33 25.84 0.36 0.03 9.60 -3.05 1.91 -0.05
0.36 25.98 0.41 0.03 9.60 -3.05 2.07 -0.21
0.38 25.84 0.41 0.03 9.61 -2.72 1.90 0.18
0.40 25.84 0.37 0.07 9.58 -2.97 2.08 0.03
0.42 26.13 0.43 0.05 9.63 -3.19 2.05 -0.18
0.45 25.98 0.39 0.03 9.58 -2.98 2.15 0.13
0.47 25.74 0.41 0.02 9.51 -3.07 2.19 -0.13
0.49 26.13 0.39 0.06 9.62 -3.15 2.19 -0.10
0.52 26.03 0.38 0.05 9.56 -2.93 1.98 0.02
0.54 25.98 0.40 0.02 9.57 -3.05 1.99 0.16
0.56 25.94 0.37 0.03 9.56 -3.06 1.88 -0.05
0.58 25.98 0.43 0.05 9.65 -3.00 2.14 -0.25
0.61 25.94 0.42 0.04 9.52 -3.18 2.06 0.15
0.63 25.98 0.37 0.06 9.57 -2.80 1.89 0.14
0.65 25.94 0.40 0.08 9.60 -2.67 2.05 -0.07
0.67 25.94 0.38 0.06 9.64 -2.99 2.05 -0.05
0.70 26.03 0.41 0.05 9.59 -3.33 2.11 -0.08
0.72 25.98 0.36 0.05 9.63 -3.01 2.17 0.02
0.74 25.98 0.37 0.05 9.58 -3.06 2.33 -0.04
