0.01 26.99 0.36 0.21 9.63 -2.95 2.15 -0.02
0.04 26.85 0.32 0.21 9.62 -3.05 1.92 0.16
0.06 27.04 0.34 0.19 9.60 -2.76 1.86 -0.08
0.08 26.99 0.31 0.17 9.60 -3.04 2.09 0.07
0.11 26.70 0.33 0.20 9.64 -2.98 2.11 0.07
0.13 26.85 0.33 0.19 9.58 -2.96 1.98 -0.07
0.15 26.65 0.29 0.19 9.58 -2.84 1.88 0.05
0.17 26.70 0.28 0.18 9.61 -2.69 2.14 -0.10
0.20 26.89 0.33 0.17 9.60 -3.01 2.41 0.12
0.22 26.85 0.31 0.17 9.61 -3.11 2.00 -0.27
0.24 26.85 0.31 0.18 9.59 -3.25 1.95 -0.05
0.26 26.89 0.32 0.21 9.64 -3.02 2.19 -0.36
0.29 26.85 0.30 0.18 9.60 -3.00 1.97 0.19
0.31 26.80 0.34 0.17 9.61 -3.15 1.85 0.11
0.33 27.04 0.32 0.16 9.60 -2.92 2.34 0.19
0.35 26.51 0.32 0.20 9.59 -3.10 2.18 0.08
0.38 26.80 0.32 0.17 9.62 -2.79 2.21 -0.22
0.40 26.80 0.29 0.17 9.63 -2.94 1.90 0.21
0.42 26.80 0.37 0.20 9.65 -2.75 2.05 0.06
0.44 26.80 0.31 0.21 9.57 -3.11 2.27 -0.08
0.47 26.80 0.36 0.20 9.61 -3.04 2.02 -0.14
0.49 26.65 0.30 0.20 9.59 -3.05 1.85 -0.21
0.51 27.09 0.32 0.22 9.59 -2.77 2.11 -0.02
0.54 26.89 0.32 0.22 9.60 -2.94 2.28 -0.11
0.56 26.65 0.29 0.19 9.63 -3.01 2.03 -0.09
0.58 26.85 0.32 0.21 9.56 -3.01 1.96 0.11
0.60 26.85 0.33 0.22 9.62 -2.95 2.02 -0.02
0.63 26.80 0.32 0.22 9.64 -3.19 1.96 -0.02
0.65 26.80 0.30 0.15 9.63 -2.88 2.14 -0.05
0.67 26.80 0.31 0.17 9.60 -2.97 1.99 0.03
0.70 26.89 0.34 0.23 9.62 -3.04 2.06 -0.11
0.72 26.99 0.32 0.17 9.59 -3.05 2.09 0.01
0.74 26.65 0.30 0.19 9.65 -3.06 1.90 0.18
0.76 26.80 0.31 0.18 9.61 -2.75 1.90 -0.11
0.79 27.04 0.31 0.15 9.55 -3.00 2.11 -0.22
0.81 26.85 0.33 0.17 9.61 -3.12 1.98 0.12
0.83 27.09 0.33 0.16 9.61 -3.17 1.76 0.02
0.85 27.04 0.35 0.21 9.61 -3.02 2.18 -0.07
0.88 26.56 0.34 0.19 9.59 -2.85 2.02 0.04
0.90 27.18 0.30 0.18 9.63 -3.16 1.96 -0.01
0.92 27.04 0.31 0.20 9.55 -3.36 2.40 -0.20
0.94 26.80 0.31 0.19 9.52 -3.18 2.03 0.02
0.97 26.80 0.32 0.24 9.54 -3.14 1.88 0.10
0.99 26.89 0.35 0.19 9.58 -2.73 2.08 -0.05
1.01 26.56 0.32 0.22 9.65 -2.83 2.28 0.05
1.03 26.99 0.31 0.21 9.61 -2.73 1.88 -0.05
1.06 26.85 0.33 0.20 9.63 -2.90 2.18 -0.11
1.08 26.80 0.34 0.18 9.60 -2.70 2.24 0.21
1.10 26.89 0.34 0.19 9.61 -2.50 1.92 -0.04
1.12 26.85 0.34 0.19 9.61 -3.14 2.05 0.21
1.15 27.04 0.36 0.20 9.61 -2.89 2.05 -0.19
1.17 26.89 0.30 0.16 9.63 -2.89 1.96 0.11
1.19 26.99 0.30 0.15 9.60 -2.85 2.08 -0.03
1.22 26.99 0.32 0.19 9.58 -2.94 1.96 0.00
1.24 26.89 0.33 0.22 9.64 -3.27 1.97 -0.02
1.26 26.65 0.33 0.17 9.64 -3.03 2.10 -0.15
1.28 26.85 0.35 0.19 9.57 -2.91 1.87 0.03
1.31 26.85 0.31 0.21 9.64 -3.21 2.07 -0.16
1.33 26.85 0.36 0.16 9.60 -2.84 1.79 -0.34
1.35 26.80 0.36 0.17 9.62 -2.93 2.24 -0.27
1.37 26.99 0.31 0.19 9.59 -2.95 1.98 -0.37
1.40 26.85 0.34 0.18 9.61 -3.03 2.02 0.09
1.42 26.85 0.38 0.19 9.60 -3.07 1.99 0.12
1.44 26.65 0.35 0.21 9.57 -2.55 2.24 0.18
1.47 26.80 0.33 0.21 9.63 -2.84 1.74 0.05
1.49 26.99 0.33 0.19 9.61 -3.05 2.15 0.22
1.51 26.89 0.32 0.17 9.64 -3.09 1.97 0.02
1.53 26.70 0.33 0.18 9.64 -3.18 2.18 -0.23
1.55 26.85 0.32 0.18 9.60 -2.92 1.93 -0.10
1.58 26.56 0.35 0.19 9.65 -3.17 2.18 0.22
1.60 26.80 0.28 0.16 9.55 -3.20 2.11 0.02
1.62 26.99 0.33 0.20 9.61 -2.75 1.96 -0.40
1.65 26.89 0.34 0.16 9.61 -3.01 1.98 -0.06
1.67 26.80 0.34 0.17 9.60 -3.02 1.91 0.04
1.69 26.65 0.31 0.17 9.55 -3.21 1.97 -0.02
1.71 26.65 0.33 0.24 9.60 -3.05 2.00 0.20
1.74 26.89 0.33 0.20 9.58 -3.11 1.97 0.11
1.76 27.04 0.30 0.19 9.61 -2.98 2.13 -0.12
1.78 26.89 0.33 0.17 9.58 -2.90 2.27 -0.22
1.80 26.89 0.31 0.19 9.56 -3.05 1.96 0.14
1.83 26.70 0.32 0.23 9.64 -3.10 2.05 -0.16
1.85 26.85 0.32 0.19 9.65 -2.76 1.89 -0.15
1.87 26.85 0.32 0.19 9.62 -2.68 2.02 0.08
1.89 26.89 0.32 0.20 9.64 -2.94 2.09 -0.21
1.92 26.85 0.33 0.18 9.60 -2.95 2.06 -0.30
1.94 26.80 0.32 0.20 9.58 -2.94 1.78 0.08
1.96 26.85 0.33 0.20 9.61 -3.00 1.76 0.06
1.98 26.85 0.31 0.19 9.61 -3.00 1.97 -0.08
2.01 26.89 0.34 0.20 9.58 -3.18 1.98 -0.05
2.03 26.89 0.34 0.21 9.61 -2.91 2.08 0.11
2.05 26.80 0.32 0.20 9.61 -3.02 2.09 -0.09
2.08 26.99 0.34 0.17 9.64 -3.30 1.91 -0.02
2.10 26.80 0.32 0.16 9.59 -2.92 1.83 -0.27
2.12 27.04 0.31 0.16 9.56 -2.77 2.05 -0.24
2.14 26.80 0.32 0.20 9.65 -3.13 2.16 0.12
2.17 26.89 0.32 0.19 9.59 -3.01 1.76 -0.28
2.19 26.80 0.31 0.18 9.58 -2.95 1.92 -0.02
2.21 26.56 0.33 0.17 9.65 -2.79 1.90 0.03
2.24 26.99 0.30 0.19 9.58 -2.98 2.30 0.07
2.26 26.80 0.33 0.15 9.58 -2.97 1.88 0.03
2.28 27.04 0.28 0.22 9.69 -3.37 1.89 -0.02
2.30 26.80 0.31 0.21 9.61 -3.09 2.10 0.22
2.33 26.80 0.33 0.19 9.59 -2.98 2.27 -0.05
2.35 27.09 0.35 0.19 9.59 -2.68 2.06 -0.18
2.37 26.89 0.29 0.18 9.61 -2.96 2.05 0.03
2.39 26.89 0.33 0.21 9.59 -2.60 1.85 -0.06
2.42 26.99 0.32 0.18 9.59 -3.09 1.99 -0.05
2.44 26.80 0.33 0.22 9.61 -2.97 2.44 -0.05
2.46 26.80 0.30 0.18 9.63 -2.91 2.27 0.15
2.48 26.70 0.32 0.16 9.59 -2.87 2.17 -0.08
2.51 26.99 0.34 0.21 9.64 -3.02 2.11 -0.24
2.53 26.80 0.32 0.20 9.60 -2.98 2.01 0.10
2.55 26.85 0.36 0.20 9.59 -2.81 2.07 0.37
2.57 26.85 0.34 0.19 9.61 -3.02 2.18 -0.05
2.60 26.89 0.34 0.20 9.57 -3.13 2.03 -0.13
2.62 26.80 0.30 0.18 9.60 -3.05 1.95 0.02
2.64 26.89 0.35 0.20 9.56 -2.82 2.02 0.06
2.67 26.80 0.33 0.17 9.59 -2.92 2.17 0.10
2.69 26.85 0.32 0.18 9.58 -2.94 1.80 -0.18
2.71 26.80 0.33 0.19 9.66 -3.15 2.24 0.18
2.73 26.85 0.34 0.21 9.62 -2.89 2.08 -0.11
